Date,District,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Year,Month,YearMonth
1981-11-06,Dang,28.0,82.4,0.0,86.78,7.7,65.32,14.34,7.38,19.94,10.72,9.22,12.2,1.85,3.44,0.82,2.62,2.1,3.33,0.7,2.63,1981,11,1981-11
1981-02-27,Dang,28.0,82.4,0.0,86.68,5.1,42.95,14.48,1.86,21.84,9.77,12.06,13.66,2.54,5.1,0.52,4.57,3.26,5.5,0.68,4.81,1981,2,1981-02
1981-07-03,Dang,28.0,82.4,29.69,85.62,18.44,87.02,23.44,20.96,26.35,21.28,5.07,23.68,2.96,4.92,1.0,3.92,3.85,5.76,1.58,4.2,1981,7,1981-07
1981-03-18,Dang,28.0,82.4,0.02,86.46,6.18,43.68,17.16,4.5,25.23,10.48,14.76,16.26,2.83,5.94,1.23,4.71,3.33,6.1,1.7,4.4,1981,3,1981-03
1981-04-30,Dang,28.0,82.4,0.0,86.6,6.49,33.39,22.38,5.34,29.44,15.83,13.61,22.22,2.58,4.36,0.54,3.82,3.09,4.66,0.52,4.15,1981,4,1981-04
1981-06-02,Dang,28.0,82.4,1.08,86.09,9.88,43.15,24.9,11.35,31.73,18.51,13.22,25.69,3.14,6.25,0.98,5.28,3.81,6.47,1.3,5.18,1981,6,1981-06
1981-05-07,Dang,28.0,82.4,1.5,86.58,10.4,57.18,21.18,12.16,25.2,17.13,8.06,21.42,1.81,3.17,0.55,2.62,2.13,3.14,0.54,2.6,1981,5,1981-05
1981-07-13,Darchula,29.9,80.6,6.53,73.57,13.08,89.08,15.15,12.86,17.78,13.08,4.71,15.39,1.85,3.3,0.04,3.25,2.11,4.5,0.07,4.43,1981,7,1981-07
1981-02-03,Darchula,29.9,80.6,0.46,73.97,3.09,59.26,0.17,-7.66,6.59,-5.07,11.66,-3.46,1.6,3.38,0.04,3.33,1.54,2.99,0.1,2.89,1981,2,1981-02
1981-01-16,Darchula,29.9,80.6,0.0,74.31,2.64,41.01,3.18,-8.76,11.43,-2.7,14.13,-0.71,2.12,3.86,0.08,3.78,2.05,3.27,0.09,3.18,1981,1,1981-01
